year,occupation,age_bracket,count_k
2017,Computer Systems Analysts,age_20_24,34.0
2017,Computer Systems Analysts,age_25_34,137.0
2017,Computer Systems Analysts,age_35_44,132.0
2017,Computer Systems Analysts,age_45_54,136.0
2017,Computer Systems Analysts,age_55_64,96.0
2017,Computer Systems Analysts,age_65_plus,19.0
2017,Computer Systems Analysts,total,554.0
2018,Computer Systems Analysts,age_16_19,2.0
2018,Computer Systems Analysts,age_20_24,38.0
2018,Computer Systems Analysts,age_25_34,193.0
2018,Computer Systems Analysts,age_35_44,162.0
2018,Computer Systems Analysts,age_45_54,136.0
2018,Computer Systems Analysts,age_55_64,92.0
2018,Computer Systems Analysts,age_65_plus,29.0
2018,Computer Systems Analysts,total,652.0
2019,Computer Systems Analysts,age_16_19,1.0
2019,Computer Systems Analysts,age_20_24,59.0
2019,Computer Systems Analysts,age_25_34,191.0
2019,Computer Systems Analysts,age_35_44,181.0
2019,Computer Systems Analysts,age_45_54,121.0
2019,Computer Systems Analysts,age_55_64,94.0
2019,Computer Systems Analysts,age_65_plus,16.0
2019,Computer Systems Analysts,total,663.0
2020,Computer Systems Analysts,age_16_19,2.0
2020,Computer Systems Analysts,age_20_24,41.0
2020,Computer Systems Analysts,age_25_34,174.0
2020,Computer Systems Analysts,age_35_44,141.0
2020,Computer Systems Analysts,age_45_54,120.0
2020,Computer Systems Analysts,age_55_64,97.0
2020,Computer Systems Analysts,age_65_plus,19.0
2020,Computer Systems Analysts,total,594.0
2021,Computer Systems Analysts,age_16_19,2.0
2021,Computer Systems Analysts,age_20_24,17.0
2021,Computer Systems Analysts,age_25_34,125.0
2021,Computer Systems Analysts,age_35_44,127.0
2021,Computer Systems Analysts,age_45_54,92.0
2021,Computer Systems Analysts,age_55_64,83.0
2021,Computer Systems Analysts,age_65_plus,18.0
2021,Computer Systems Analysts,total,464.0
2022,Computer Systems Analysts,age_16_19,1.0
2022,Computer Systems Analysts,age_20_24,25.0
2022,Computer Systems Analysts,age_25_34,136.0
2022,Computer Systems Analysts,age_35_44,134.0
2022,Computer Systems Analysts,age_45_54,97.0
2022,Computer Systems Analysts,age_55_64,70.0
2022,Computer Systems Analysts,age_65_plus,39.0
2022,Computer Systems Analysts,total,501.0
2023,Computer Systems Analysts,age_16_19,2.0
2023,Computer Systems Analysts,age_20_24,25.0
2023,Computer Systems Analysts,age_25_34,130.0
2023,Computer Systems Analysts,age_35_44,121.0
2023,Computer Systems Analysts,age_45_54,119.0
2023,Computer Systems Analysts,age_55_64,88.0
2023,Computer Systems Analysts,age_65_plus,28.0
2023,Computer Systems Analysts,total,513.0
2024,Computer Systems Analysts,age_16_19,1.0
2024,Computer Systems Analysts,age_20_24,46.0
2024,Computer Systems Analysts,age_25_34,158.0
2024,Computer Systems Analysts,age_35_44,136.0
2024,Computer Systems Analysts,age_45_54,98.0
2024,Computer Systems Analysts,age_55_64,84.0
2024,Computer Systems Analysts,age_65_plus,24.0
2024,Computer Systems Analysts,total,547.0
2015,Database Administrators,age_16_19,0.0
2015,Database Administrators,age_20_24,1.0
2015,Database Administrators,age_25_34,17.0
2015,Database Administrators,age_35_44,20.0
2015,Database Administrators,age_45_54,31.0
2015,Database Administrators,age_55_64,20.0
2015,Database Administrators,age_65_plus,4.0
2015,Database Administrators,total,93.0
2016,Database Administrators,age_16_19,0.0
2016,Database Administrators,age_20_24,5.0
2016,Database Administrators,age_25_34,23.0
2016,Database Administrators,age_35_44,20.0
2016,Database Administrators,age_45_54,19.0
2016,Database Administrators,age_55_64,20.0
2016,Database Administrators,age_65_plus,2.0
2016,Database Administrators,total,90.0
2017,Database Administrators,age_16_19,0.0
2017,Database Administrators,age_20_24,5.0
2017,Database Administrators,age_25_34,31.0
2017,Database Administrators,age_35_44,17.0
2017,Database Administrators,age_45_54,26.0
2017,Database Administrators,age_55_64,16.0
2017,Database Administrators,age_65_plus,2.0
2017,Database Administrators,total,96.0
2018,Database Administrators,age_16_19,1.0
2018,Database Administrators,age_20_24,7.0
2018,Database Administrators,age_25_34,34.0
2018,Database Administrators,age_35_44,16.0
2018,Database Administrators,age_45_54,24.0
2018,Database Administrators,age_55_64,23.0
2018,Database Administrators,age_65_plus,3.0
2018,Database Administrators,total,108.0
2019,Database Administrators,age_16_19,0.0
2019,Database Administrators,age_20_24,5.0
2019,Database Administrators,age_25_34,21.0
2019,Database Administrators,age_35_44,29.0
2019,Database Administrators,age_45_54,27.0
2019,Database Administrators,age_55_64,18.0
2019,Database Administrators,age_65_plus,7.0
2019,Database Administrators,total,106.0
2020,Database Administrators,age_16_19,0.0
2020,Database Administrators,age_20_24,7.0
2020,Database Administrators,age_25_34,33.0
2020,Database Administrators,age_35_44,24.0
2020,Database Administrators,age_45_54,36.0
2020,Database Administrators,age_55_64,15.0
2020,Database Administrators,age_65_plus,6.0
2020,Database Administrators,total,121.0
2021,Database Administrators,age_16_19,0.0
2021,Database Administrators,age_20_24,1.0
2021,Database Administrators,age_25_34,31.0
2021,Database Administrators,age_35_44,19.0
2021,Database Administrators,age_45_54,32.0
2021,Database Administrators,age_55_64,27.0
2021,Database Administrators,age_65_plus,1.0
2021,Database Administrators,total,111.0
2022,Database Administrators,age_16_19,1.0
2022,Database Administrators,age_20_24,10.0
2022,Database Administrators,age_25_34,32.0
2022,Database Administrators,age_35_44,24.0
2022,Database Administrators,age_45_54,33.0
2022,Database Administrators,age_55_64,34.0
2022,Database Administrators,age_65_plus,4.0
2022,Database Administrators,total,137.0
2023,Database Administrators,age_16_19,0.0
2023,Database Administrators,age_20_24,3.0
2023,Database Administrators,age_25_34,28.0
2023,Database Administrators,age_35_44,31.0
2023,Database Administrators,age_45_54,28.0
2023,Database Administrators,age_55_64,30.0
2023,Database Administrators,age_65_plus,3.0
2023,Database Administrators,total,122.0
2024,Database Administrators,age_16_19,1.0
2024,Database Administrators,age_20_24,4.0
2024,Database Administrators,age_25_34,50.0
2024,Database Administrators,age_35_44,38.0
2024,Database Administrators,age_45_54,30.0
2024,Database Administrators,age_55_64,21.0
2024,Database Administrators,age_65_plus,4.0
2024,Database Administrators,total,148.0
2015,Information Security Analysts,age_16_19,0.0
2015,Information Security Analysts,age_20_24,2.0
2015,Information Security Analysts,age_25_34,17.0
2015,Information Security Analysts,age_35_44,19.0
2015,Information Security Analysts,age_45_54,16.0
